type_of_house,living_space,number_of_rooms,rent,construction_year,street,zipcode,region,tag
Etagenwohnung,66,2,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261
,111,3,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533
,105,3,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532
Etagenwohnung,117,4,1330,,,63071,"Offenbach, Stadtmitte",/expose/93038886
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
Penthouse,170,,5375,2019,,60322,"Frankfurt am Main / Nordend-West, Frankfurt am Main",/expose/112579357
,320,5,5600,,,60599,"Frankfurt am Main, Oberrad",/expose/109600533
Maisonette,600,15,13400,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/98567656
Etagenwohnung,405,,11700,2019,,60487,"Frankfurt am Main, Bockenheim",/expose/113651405
Penthouse,166,3,5300,2019,,61440,"Oberursel / Taunus, Oberursel (Taunus)",/expose/113001587
Etagenwohnung,320,9,7600,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/89886750
,261,,7370,2017,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458111
Maisonette,280,,6500,,,60599,"Frankfurt am Main, Sachsenhausen-Süd",/expose/113324779
Penthouse,312,5,9350,2002,,60323,"Frankfurt am Main, Westend-Süd",/expose/114458274
Maisonette,241,,6440,1914,Ditmarstraße 9,60487,"Frankfurt, Bockenheim",/expose/104293180
Etagenwohnung,225,4,6821,unbekannt,Hochstraße 42-46,60322,"Frankfurt am Main, Innenstadt",/expose/113405132
Penthouse,226,5,6615,2015,,60311,"Frankfurt am Main, Innenstadt",/expose/114448268
Maisonette,277,8,5450,1913,,65812,"Bad Soden, Bad Soden am Taunus",/expose/113165975
Maisonette,170,5,5350,2019,,60322,"Frankfurt, Nordend-West",/expose/113144601
Erdgeschosswohnung,180,4,5200,2019,,60322,"Frankfurt am Main, Nordend-West",/expose/114321292
Maisonette,317,6,6750,1906,,61476,"Kronberg, Kronberg im Taunus",/expose/114217070
,257,,6770,2017,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458013
Maisonette,168,4,5375,2018,,60322,"Frankfurt am Main, Nordend-West",/expose/114458050
Etagenwohnung,160,4,6500,,,60323,"Frankfurt, Westend-Süd",/expose/114002361
Penthouse,601,6,20588,unbekannt,Hochstraße 42-46,60322,"Frankfurt am Main, Innenstadt",/expose/114421851
,23,1,405,1920,Westanlage 20,35390,"Gießen, Gießen (Kreis)",/expose/114546670
Etagenwohnung,24,1,395,1870,,65428,"Rüsselsheim, Rüsselsheim am Main",/expose/114524952
Dachgeschoss,34,2,451,1947,Wilhelm-Sturmfels-Straße 5,65428,"Rüsselsheim, Rüsselsheim am Main",/expose/114548150
,17,1,360,1968,,60388,"Frankfurt, Bergen-Enkheim",/expose/114519643
Souterrain,20,1,380,1971,,64546,"Mörfelden-W, Mörfelden-Walldorf",/expose/81647910
Erdgeschosswohnung,28,1,435,1985,,63128,"Dietzenbach, Offenbach (Kreis)",/expose/113979065
,29,1,511,1962,Jaspertstr. 11,60435,"Frankfurt am Main, Preungesheim",/expose/114332629
Etagenwohnung,29,1,470,,Ludwigstr. 28,63065,"Offenbach, Stadtmitte",/expose/114514901
,29,1,325,1948,Händelstraße 4,35392,"Gießen, Gießen (Kreis)",/expose/114219079
Dachgeschoss,20,1,380,1976,,63225,"Langen, Langen (Hessen)",/expose/114400635
Etagenwohnung,26,1,370,,,63450,"Hanau, Main-Kinzig-Kreis",/expose/112669477
,18,1,330,1920,Westanlage 20,35390,"Gießen, Gießen (Kreis)",/expose/114218956
Etagenwohnung,29,1,470,,Ludwigstr. 28,63065,"Offenbach, Stadtmitte",/expose/114514873
,38,,415,1971,Fritz-Erler-Strasse 8,63263,"Neu-Isenburg, Offenbach (Kreis)",/expose/114543070
Souterrain,33,1,440,1973,Schalksbornstr. 0,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/73101557
Etagenwohnung,22,1,400,unbekannt,,64293,"Darmstadt, Darmstadt-Nord",/expose/91727711
Sonstige,20,1,270,,Usagasse 33,61169,"Friedberg, Friedberg (Hessen)",/expose/114486744
,20,1,300,1900,,63067,"Offenbach, Kaiserlei",/expose/114155386
Etagenwohnung,21,1,425,1920,Hanauerstraße 15,61169,"Friedberg, Friedberg (Hessen)",/expose/113480822
,20,1,395,2019,Altstraße 24,63450,"Hanau, Main-Kinzig-Kreis",/expose/106842815
Maisonette,190,6,4560,,,60594,"Sachsenhausen, Sachsenhausen-Nord",/expose/114070987
Penthouse,200,7,3350,unbekannt,,61348,"Bad Homburg v.d.H., Bad Homburg vor der Höhe",/expose/92399822
Maisonette,600,15,13400,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/98567656
Etagenwohnung,203,7,5300,1900,,60322,"Frankfurt am Main / Westend-Nord, Frankfurt am Main",/expose/113898942
Etagenwohnung,340,11,3220,1984,Karl Herrmann Flach Str. 15a,61440,"Oberursel, Oberursel (Taunus)",/expose/113652947
Dachgeschoss,208,7,4600,1906,,61476,"Kronberg, Kronberg im Taunus",/expose/114217461
Maisonette,172,,3350,1887,,60594,"Frankfurt, Sachsenhausen-Nord",/expose/113355215
Etagenwohnung,320,9,7600,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/89886750
Terrassenwohnung,190,7,2630,1991,Louisenstraße 121,61348,"Bad Homburg, Bad Homburg vor der Höhe",/expose/88933784
Maisonette,280,,6500,,,60599,"Frankfurt am Main, Sachsenhausen-Süd",/expose/113324779
,135,6,1740,1992,,65817,"Eppstein, Main-Taunus-Kreis",/expose/114003664
Penthouse,250,6,3895,1985,,60431,"Frankfurt, Eschersheim",/expose/114526448
Maisonette,108,6,1566,1954,,63069,"Offenbach am Main, Lauterborn",/expose/114328979
Maisonette,277,8,5450,1913,,65812,"Bad Soden, Bad Soden am Taunus",/expose/113165975
Etagenwohnung,250,7,5400,,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458148
Etagenwohnung,200,7,3600,,,60325,"Frankfurt, Westend-Süd",/expose/106937651
Maisonette,317,6,6750,1906,,61476,"Kronberg, Kronberg im Taunus",/expose/114217070
Penthouse,179,6,2830,2020,Riedstraße 10 a,63225,"Langen, Langen (Hessen)",/expose/114497702
Penthouse,601,6,20588,unbekannt,Hochstraße 42-46,60322,"Frankfurt am Main, Innenstadt",/expose/114421851
Etagenwohnung,152,7,1550,1980,Finkenweg 6,61197,"Florstadt, Wetteraukreis",/expose/114486965
Etagenwohnung,38,1,899,unbekannt,Bahnhofplatz 2,55116,"Mainz, Altstadt",/expose/114543233
,23,1,405,1920,Westanlage 20,35390,"Gießen, Gießen (Kreis)",/expose/114546670
Etagenwohnung,17,1,830,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114534602
,30,1,590,1968,Rohrbachstrasse 37,60389,"Frankfurt am Main, Nordend-Ost",/expose/114548535
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Dachgeschoss,60,1,930,1900,Auf der Beun -,65933,"Frankfurt, Griesheim",/expose/114546281
Etagenwohnung,23,1,630,unbekannt,Bahnhofplatz 2,55116,"Mainz, Altstadt",/expose/114543229
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,16,1,800,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114534601
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
Erdgeschosswohnung,27,1,417,1967,,63303,"Dreieich, Offenbach (Kreis)",/expose/114538815
,21,1,560,1960,Berger Strasse 128,60385,"Frankfurt am Main, Bornheim",/expose/114548392
,26,1,765,,Gräfstraße 76,60486,"Francoforte, Westend-Süd",/expose/114541249
Erdgeschosswohnung,21,1,590,,,60438,"Frankfurt am Main, Riedberg",/expose/114548138
Etagenwohnung,38,1,899,unbekannt,Bahnhofplatz 2,55116,"Mainz, Altstadt",/expose/114543237
Etagenwohnung,38,1,580,,Beienheimer Str. 10,61169,"Friedberg, Friedberg (Hessen)",/expose/114544558
Etagenwohnung,36,1,819,1970,,55116,"Mainz, Altstadt",/expose/114543226
,30,1,680,1968,Rohrbachstrasse 37,60389,"Frankfurt am Main, Nordend-Ost",/expose/114548440
Etagenwohnung,35,1,850,1970,,55116,"Mainz, Altstadt",/expose/114543235
Dachgeschoss,25,1,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290
,320,5,5600,,,60599,"Frankfurt am Main, Oberrad",/expose/109600533
Maisonette,321,5,5500,1956,,60311,"Frankfurt, Altstadt",/expose/114088877
Maisonette,600,15,13400,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/98567656
Etagenwohnung,340,11,3220,1984,Karl Herrmann Flach Str. 15a,61440,"Oberursel, Oberursel (Taunus)",/expose/113652947
Etagenwohnung,321,5,5470,1956,,60311,"Frankfurt, Altstadt",/expose/114481259
Etagenwohnung,405,,11700,2019,,60487,"Frankfurt am Main, Bockenheim",/expose/113651405
Penthouse,267,4,4050,2005,,60320,"Frankfurt am Main, Dornbusch",/expose/114457849
Etagenwohnung,320,9,7600,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/89886750
,261,,7370,2017,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458111
Etagenwohnung,276,4,4190,2007,,60320,"Frankfurt, Westend-Nord",/expose/114481258
Maisonette,280,,6500,,,60599,"Frankfurt am Main, Sachsenhausen-Süd",/expose/113324779
Penthouse,312,5,9350,2002,,60323,"Frankfurt am Main, Westend-Süd",/expose/114458274
Penthouse,250,6,3895,1985,,60431,"Frankfurt, Eschersheim",/expose/114526448
Maisonette,277,8,5450,1913,,65812,"Bad Soden, Bad Soden am Taunus",/expose/113165975
Etagenwohnung,250,7,5400,,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458148
Etagenwohnung,285,5,3800,,,63303,"Dreieich, Offenbach (Kreis)",/expose/114089609
Maisonette,317,6,6750,1906,,61476,"Kronberg, Kronberg im Taunus",/expose/114217070
,257,,6770,2017,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458013
Penthouse,267,4,4050,2005,,60320,"Frankfurt am Main, Westend-Nord",/expose/114457882
Penthouse,601,6,20588,unbekannt,Hochstraße 42-46,60322,"Frankfurt am Main, Innenstadt",/expose/114421851
Etagenwohnung,12,1,760,,Braubachstraße 25,60311,"Frankfurt, Altstadt",/expose/114534422
Etagenwohnung,15,1,790,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114533901
Etagenwohnung,11,1,750,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114010296
Etagenwohnung,15,1,790,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114010375
Etagenwohnung,13,1,760,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114534599
Etagenwohnung,16,1,730,,Kleine Rittergasse 43,60594,"Frankfurt, Sachsenhausen-Nord",/expose/114534532
Etagenwohnung,12,1,770,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114533912
Etagenwohnung,10,1,620,,Münchener Straße 55,60329,"Frankfurt, Bahnhofsviertel",/expose/114534257
Etagenwohnung,16,1,800,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114534601
Etagenwohnung,15,1,740,,Mainzer Landstraße 258,60389,"Frankfurt, Gallusviertel",/expose/114534037
Etagenwohnung,15,1,790,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114079184
Etagenwohnung,12,1,679,2019,,60486,"Frankfurt am Main, Westend-Süd",/expose/114044791
Etagenwohnung,14,1,590,1989,Hausener Weg 120,60488,"Frankfurt am Main, Hausen",/expose/111890933
Etagenwohnung,13,1,780,,Wallstraße 26,60594,"Frankfurt, Sachsenhausen-Nord",/expose/114534431
Etagenwohnung,12,1,770,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114010287
Etagenwohnung,13,1,770,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114533870
Etagenwohnung,11,1,750,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114533828
Etagenwohnung,11,1,750,,Braubachstraße 25,60311,"Frankfurt, Altstadt",/expose/114534397
Etagenwohnung,15,1,740,,Petterweilstraße 31,60385,"Frankfurt, Nordend-Ost",/expose/114534373
Sonstige,15,1,650,,Mittlerer Hasenpfad 37,60598,"Frankfurt am Main, Sachsenhausen-Süd",/expose/114515278
Etagenwohnung,202,5,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492
Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189
Etagenwohnung,84,3,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753
Etagenwohnung,54,2,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243
,30,1,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244
Etagenwohnung,62,2,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707
Erdgeschosswohnung,99,3,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459
Etagenwohnung,38,1,919,1970,,55116,"Mainz, Altstadt",/expose/114550318
Etagenwohnung,48,1,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984
