	Unnamed: 0	type_of_house	living_space	number_of_rooms	rent	construction_year	street	zipcode	region	tag	latitude	longitude
41	41	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.1580146	50.1580146
42	42	Etagenwohnung	53	2.0	670	1991	Philippsring 7	55252	Mainz - Kastel, Wiesbaden	/expose/111200238	50.006378999999995	50.006378999999995
43	43	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	50.1169599	50.1169599
44	44	Etagenwohnung	81	3.0	990	2006		65474	Bischofsheim, Groß-Gerau (Kreis)	/expose/114529671	49.9895565	49.9895565
45	45	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	50.00449129999999	50.00449129999999
46	46	Dachgeschoss	73	2.0	950	1999	Promenadenstraße 8 - 12	64625	Bensheim, Bergstraße (Kreis)	/expose/111846814	49.666940000000004	49.666940000000004
47	47	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.104569399999995	50.104569399999995
48	48	Etagenwohnung	60	1.0	931	2008	Voltastraße 63b	60486	Frankfurt am Main, Bockenheim	/expose/112018391	50.1168556	50.1168556
49	49		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008277	50.1008277
50	50		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.2313417	50.2313417
51	51	Etagenwohnung	87	3.0	1300	1972	Breslauer Straße 31	65779	Kelkheim, Kelkheim (Taunus)	/expose/114530211	50.1316466	50.1316466
52	52	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.1804837	50.1804837
53	53	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
54	54	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1127309	50.1127309
55	55	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
56	56		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.0817745	50.0817745
57	57		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.0817745	50.0817745
58	58	Etagenwohnung	117	4.0	1330			63071	Offenbach, Stadtmitte	/expose/93038886	51.0426414	51.0426414
59	59	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290	49.858835299999996	49.858835299999996
