	Unnamed: 0	type_of_house	living_space	number_of_rooms	rent	construction_year	street	zipcode	region	tag	latitude	longitude
605	605	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.1785375	50.1785375
606	606	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	50.00449129999999	50.00449129999999
607	607	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	50.002218400000004	50.002218400000004
608	608	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.104569399999995	50.104569399999995
609	609		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008277	50.1008277
610	610		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.2313417	50.2313417
611	611		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.1249136	50.1249136
612	612	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.1804837	50.1804837
613	613	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
614	614	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
615	615	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1127309	50.1127309
616	616	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
617	617		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.0817745	50.0817745
618	618		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.0817745	50.0817745
619	619	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290	49.858835299999996	49.858835299999996
620	620	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.0870527	50.0870527
621	621	Etagenwohnung	78	3.0	1320	2019	Hafenallee 23	63067	Offenbach, Stadtmitte	/expose/112968129		
622	622		49	2.0	850	2019	Neckarstraße 4	63225	Langen, Langen (Hessen)	/expose/112880472	49.9916	49.9916
623	623		105	3.0	1950	2019	Buchrainweg 100	63069	Offenbach, Lauterborn	/expose/113237106	50.093646	50.093646
624	624	Erdgeschosswohnung	49	2.0	850	2019	Neckarstraße 4	63225	Langen, Langen (Hessen)	/expose/105604936	49.9916	49.9916
625	625	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	50.1169599	50.1169599
626	626	Etagenwohnung	21	1.0	865		Kaiserstraße 73	63065	Offenbach am Main, Stadtmitte	/expose/112215293		
627	627	Etagenwohnung	73	2.0	1305	2019	Hafenallee 31	63067	Offenbach, Stadtmitte	/expose/114435921		
628	628	Dachgeschoss	123	4.0	1907	2018		61184	Karben, Wetteraukreis	/expose/108858102	50.2313417	50.2313417
629	629	Etagenwohnung	101	3.0	1660	2019	Bettinastr. 77-81	63067	Offenbach am Main, Stadtmitte	/expose/113232549		
630	630	Etagenwohnung	63	2.0	1200	2019	Hafenallee 39	63067	Offenbach, Stadtmitte	/expose/114435884		
631	631	Etagenwohnung	21	1.0	865		Kaiserstraße 73	63065	Offenbach am Main, Stadtmitte	/expose/112215054		
632	632	Etagenwohnung	85	2.0	1245	2018		61184	Karben, Wetteraukreis	/expose/109024834	50.2313417	50.2313417
633	633	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.104569399999995	50.104569399999995
634	634		93	3.0	1565	2019	Buchrainweg 100	63069	Offenbach, Lauterborn	/expose/113547442	50.093646	50.093646
635	635	Etagenwohnung	78	3.0	1395	2019	Hafenallee 23	63067	Offenbach, Stadtmitte	/expose/114435951		
636	636	Etagenwohnung	75	2.0	1252	2019	Mainzer Landstraße 385	60326	Frankfurt am Main, Gallusviertel	/expose/114277357	50.1022568	50.1022568
637	637		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008277	50.1008277
638	638	Etagenwohnung	102	3.0	1672	2019	Bettinastr. 77-81	63067	Offenbach am Main, Stadtmitte	/expose/113232560		
639	639	Etagenwohnung	38	1.0	1413	2017	Große Gallusstraße 16-18	60312	Frankfurt am Main, Innenstadt	/expose/114097743	50.1115561	50.1115561
640	640		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.2313417	50.2313417
641	641	Etagenwohnung	62	2.0	1200	2019	Hafenallee 39	63067	Offenbach, Stadtmitte	/expose/114435902		
642	642	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.1804837	50.1804837
643	643	Dachgeschoss	106	4.0	1842	2019	Lahnstraße 94	60326	Frankfurt am Main, Gallusviertel	/expose/114277341	50.100846999999995	50.100846999999995
644	644	Dachgeschoss	91	3.0	1562	2019	Mainzer Landstraße 385	60326	Frankfurt am Main, Gallusviertel	/expose/114277306	50.1022568	50.1022568
645	645	Etagenwohnung	70		1428		Georg-Voigt-Straße 11-15	60325	Frankfurt am Main, Westend-Süd	/expose/112546302	50.1152864	50.1152864
646	646	Etagenwohnung	76	2.0	1254	2019	Mainzer Landstraße 385	60326	Frankfurt am Main, Gallusviertel	/expose/114277364	50.1022568	50.1022568
647	647	Etagenwohnung	97	4.0	1565	2019	Lahnstraße 92	60326	Frankfurt am Main, Gallusviertel	/expose/114277345	50.100885600000005	50.100885600000005
648	648	Etagenwohnung	46	2.0	1224		Georg-Voigt-Straße 11-15	60325	Frankfurt am Main, Westend-Süd	/expose/111751830	50.1152864	50.1152864
649	649	Etagenwohnung	76	2.0	1655	2018	Wendelsweg 60	60599	Frankfurt am Main, Sachsenhausen-Süd	/expose/114032716	50.098401700000004	50.098401700000004
650	650	Etagenwohnung	76	2.0	1255	2019	Mainzer Landstraße 385	60326	Frankfurt am Main, Gallusviertel	/expose/114277374	50.1022568	50.1022568
651	651	Etagenwohnung	86	3.0	3260	2017	Große Gallusstraße 16-18	60312	Frankfurt am Main, Innenstadt	/expose/113936529	50.1115561	50.1115561
652	652	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
653	653	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1127309	50.1127309
654	654		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.0817745	50.0817745
655	655		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.0817745	50.0817745
656	656	Penthouse	135	3.0	2350	2019	Hafenallee 39	63067	Offenbach, Stadtmitte	/expose/114435931		
657	657	Etagenwohnung	90	3.0	2100	2018	Hainer Weg 80	60599	Frankfurt, Sachsenhausen-Süd	/expose/114027950	50.0972062	50.0972062
658	658	Etagenwohnung	62	2.0	1350	2011	Kurfürstenstr. 14a	60486	Frankfurt am Main, Bockenheim	/expose/61973555	50.122193200000005	50.122193200000005
659	659	Etagenwohnung	45	1.0	205	unbekannt	Pfingstbrunnenstraße 40	60486	Frankfurt, Bockenheim	/expose/83854266	50.11768970000001	50.11768970000001
660	660	Dachgeschoss	80	3.0	1550	1880	Kurfürstenstr. 49	60486	Frankfurt am Main, Bockenheim	/expose/114237680	50.119712799999995	50.119712799999995
661	661		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435895	50.115520000000004	50.115520000000004
662	662	Etagenwohnung	81	3.0	1445	2005	Voltastraße 43	60486	Frankfurt am Main, Bockenheim	/expose/114546550	50.1167958	50.1167958
663	663	Dachgeschoss	20	1.0	440	1965		60486	Frankfurt, Bockenheim	/expose/82913104	50.1223606	50.1223606
664	664	Etagenwohnung	83	2.0	1445	2005	Voltastraße 41	60486	Frankfurt am Main, Bockenheim	/expose/113486807	50.116794	50.116794
665	665	Etagenwohnung	100	2.0	2080	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113395106	50.12266029999999	50.12266029999999
666	666		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435845	50.115520000000004	50.115520000000004
667	667	Maisonette	115	3.0	1950	2009	Ohmstraße 55	60486	Frankfurt am Main, Bockenheim	/expose/114348636	50.1174939	50.1174939
668	668		80	3.0	2050	1999	Ohmstr. 000	60486	Frankfurt, Bockenheim	/expose/105155544	50.1176404	50.1176404
669	669	Dachgeschoss	60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435871	50.115520000000004	50.115520000000004
670	670	Etagenwohnung	50		950	2008	Galvanistraße 29	60486	Frankfurt, Bockenheim	/expose/114484217	50.11795120000001	50.11795120000001
671	671	Etagenwohnung	59	2.0	1110		Ohmstraße 9	60486	Frankfurt Bockenheim, Frankfurt am Main	/expose/114496934	50.1176404	50.1176404
672	672	Etagenwohnung	82	3.0	1695	2006		60486	Frankfurt, Bockenheim	/expose/114286860	50.1223606	50.1223606
673	673	Penthouse	85	3.0	1630	2002		60487	Frankfurt am Main, Bockenheim	/expose/57895064	50.1223606	50.1223606
674	674	Etagenwohnung	20	1.0	775	2011	Salvador-Allende-Straße X	60487	Frankfurt, Bockenheim	/expose/114524202	50.122509	50.122509
675	675		23	1.0	830	1988	Große Seestr. 000	60487	Frankfurt, Bockenheim	/expose/114309547	50.1195267	50.1195267
676	676	Etagenwohnung	65	2.0	1450		Kurfürstenstraße 14A	60486	Frankfurt am Main, Bockenheim	/expose/113847915	50.122193200000005	50.122193200000005
677	677	Etagenwohnung	110	2.0	2200	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113394833	50.12266029999999	50.12266029999999
678	678	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.0870527	50.0870527
679	679	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.14291420000001	50.14291420000001
680	680	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.1580146	50.1580146
681	681	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	50.1169599	50.1169599
682	682		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	50.1139623	50.1139623
683	683	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.1785375	50.1785375
684	684	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	50.00449129999999	50.00449129999999
685	685	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	50.002218400000004	50.002218400000004
686	686	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.104569399999995	50.104569399999995
687	687		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008277	50.1008277
688	688		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.2313417	50.2313417
689	689		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.1249136	50.1249136
690	690	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.1804837	50.1804837
691	691	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
692	692	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
693	693	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1127309	50.1127309
694	694	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
695	695		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.0817745	50.0817745
696	696		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.0817745	50.0817745
697	697	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290	49.858835299999996	49.858835299999996
698	698	Maisonette	154	4.0	2270	2016	Auf dem Niederberg 17	61118	Bad Vilbel, Wetteraukreis	/expose/113513720	50.1777151	50.1777151
699	699	Hochparterre	55	2.0	690	1949	Friedrich-Ebert-Straße 56	61118	Bad Vilbel, Wetteraukreis	/expose/97863617	50.174114200000005	50.174114200000005
700	700	Hochparterre	67	3.0	1890	1886	Wiesenau 52	60323	Frankfurt am Main, Westend-Süd	/expose/96707367	50.1218816	50.1218816
701	701	Etagenwohnung	55	2.0	1050		Luisenstrasse 0	63263	Neu-Isenburg, Offenbach (Kreis)	/expose/113978611	50.100609999999996	50.100609999999996
702	702	Erdgeschosswohnung	75	2.0	980		Friedrich-Ludwig-Jahn-Str. 48	61440	Oberursel, Oberursel (Taunus)	/expose/114534316	50.1851075	50.1851075
703	703	Etagenwohnung	75	3.0	1050	1985	Bettinastraße 20	63067	Offenbach am Main, Stadtmitte	/expose/86578700		
704	704	Etagenwohnung	57	2.0	855	2019	Lämmerspieler Straße 68	63165	Mühlheim am Main, Offenbach (Kreis), Mühlheim am Main	/expose/93021768	50.11667	50.11667
705	705	Etagenwohnung	87	3.0	1380	2017	Koblenzerstraße 6	64293	Darmstadt, Darmstadt-Nord	/expose/94918417	49.879202500000005	49.879202500000005
706	706	Etagenwohnung	73	3.0	1500	1916		60389	Frankfurt am Main, Nordend-Ost	/expose/111165252	50.12491970000001	50.12491970000001
707	707	Sonstige	40		938	2013	Zur Kalbacher Höhe 19	60438	Frankfurt, Riedberg	/expose/83839161	50.1783227	50.1783227
708	708	Etagenwohnung	83	3.0	1030	1997	Puiseauxplatz 5	63110	Rodgau, Offenbach (Kreis)	/expose/114320915	50.0144	50.0144
709	709	Etagenwohnung	53	2.0	1500	1963		60322	Frankfurt am Main, Westend-Süd	/expose/93908055	50.1152448	50.1152448
710	710	Etagenwohnung	60	2.0	930		Friedrichstrasse 23	63065	Offenbach am Main, Stadtmitte	/expose/114371928		
711	711	Etagenwohnung	60	2.0	670			63150	Heusenstamm, Offenbach (Kreis)	/expose/98436678	18.78378	18.78378
712	712	Erdgeschosswohnung	88	3.0	1780	2019		63067	Offenbach am Main, Stadtmitte	/expose/114168306	18.78378	18.78378
713	713	Dachgeschoss	37		720	1960		65934	Frankfurt am Main, Nied	/expose/95049201	50.1025967	50.1025967
714	714	Terrassenwohnung	64	2.0	1135	1900	Finkenhofstrasse 13	60322	Frankfurt am Main, Nordend-West	/expose/82408739	50.1215586	50.1215586
715	715		60	3.0	1200	2005	Heckerstraße 00	60529	Frankfurt, Schwanheim	/expose/101849565	50.0857665	50.0857665
716	716	Sonstige	70		1460	2016	Europa-Allee 165	60486	Frankfurt am Main, Gallusviertel	/expose/108907269	50.1083558	50.1083558
717	717	Maisonette	90	3.0	1250	1970	Buchenweg 6	61118	Bad Vilbel, Wetteraukreis	/expose/113428230	50.177065500000005	50.177065500000005
718	718	Etagenwohnung	62	2.0	1350	2011	Kurfürstenstr. 14a	60486	Frankfurt am Main, Bockenheim	/expose/61973555	50.122193200000005	50.122193200000005
719	719	Etagenwohnung	45	1.0	205	unbekannt	Pfingstbrunnenstraße 40	60486	Frankfurt, Bockenheim	/expose/83854266	50.11768970000001	50.11768970000001
720	720	Dachgeschoss	80	3.0	1550	1880	Kurfürstenstr. 49	60486	Frankfurt am Main, Bockenheim	/expose/114237680	50.119712799999995	50.119712799999995
721	721		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435895	50.115520000000004	50.115520000000004
722	722	Etagenwohnung	81	3.0	1445	2005	Voltastraße 43	60486	Frankfurt am Main, Bockenheim	/expose/114546550	50.1167958	50.1167958
723	723	Dachgeschoss	20	1.0	440	1965		60486	Frankfurt, Bockenheim	/expose/82913104	50.1223606	50.1223606
724	724	Etagenwohnung	83	2.0	1445	2005	Voltastraße 41	60486	Frankfurt am Main, Bockenheim	/expose/113486807	50.116794	50.116794
725	725	Etagenwohnung	100	2.0	2080	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113395106	50.12266029999999	50.12266029999999
726	726		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435845	50.115520000000004	50.115520000000004
727	727	Maisonette	115	3.0	1950	2009	Ohmstraße 55	60486	Frankfurt am Main, Bockenheim	/expose/114348636	50.1174939	50.1174939
728	728		80	3.0	2050	1999	Ohmstr. 000	60486	Frankfurt, Bockenheim	/expose/105155544	50.1176404	50.1176404
729	729	Dachgeschoss	60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435871	50.115520000000004	50.115520000000004
730	730	Etagenwohnung	50		950	2008	Galvanistraße 29	60486	Frankfurt, Bockenheim	/expose/114484217	50.11795120000001	50.11795120000001
731	731	Etagenwohnung	59	2.0	1110		Ohmstraße 9	60486	Frankfurt Bockenheim, Frankfurt am Main	/expose/114496934	50.1176404	50.1176404
732	732	Etagenwohnung	82	3.0	1695	2006		60486	Frankfurt, Bockenheim	/expose/114286860	50.1223606	50.1223606
733	733	Penthouse	85	3.0	1630	2002		60487	Frankfurt am Main, Bockenheim	/expose/57895064	50.1223606	50.1223606
734	734	Etagenwohnung	20	1.0	775	2011	Salvador-Allende-Straße X	60487	Frankfurt, Bockenheim	/expose/114524202	50.122509	50.122509
735	735		23	1.0	830	1988	Große Seestr. 000	60487	Frankfurt, Bockenheim	/expose/114309547	50.1195267	50.1195267
736	736	Etagenwohnung	65	2.0	1450		Kurfürstenstraße 14A	60486	Frankfurt am Main, Bockenheim	/expose/113847915	50.122193200000005	50.122193200000005
737	737	Etagenwohnung	110	2.0	2200	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113394833	50.12266029999999	50.12266029999999
738	738	Etagenwohnung	62	2.0	1350	2011	Kurfürstenstr. 14a	60486	Frankfurt am Main, Bockenheim	/expose/61973555	50.122193200000005	50.122193200000005
739	739	Etagenwohnung	45	1.0	205	unbekannt	Pfingstbrunnenstraße 40	60486	Frankfurt, Bockenheim	/expose/83854266	50.11768970000001	50.11768970000001
740	740	Dachgeschoss	80	3.0	1550	1880	Kurfürstenstr. 49	60486	Frankfurt am Main, Bockenheim	/expose/114237680	50.119712799999995	50.119712799999995
741	741		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435895	50.115520000000004	50.115520000000004
742	742	Etagenwohnung	81	3.0	1445	2005	Voltastraße 43	60486	Frankfurt am Main, Bockenheim	/expose/114546550	50.1167958	50.1167958
743	743	Dachgeschoss	20	1.0	440	1965		60486	Frankfurt, Bockenheim	/expose/82913104	50.1223606	50.1223606
744	744	Etagenwohnung	83	2.0	1445	2005	Voltastraße 41	60486	Frankfurt am Main, Bockenheim	/expose/113486807	50.116794	50.116794
745	745	Etagenwohnung	100	2.0	2080	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113395106	50.12266029999999	50.12266029999999
746	746		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435845	50.115520000000004	50.115520000000004
747	747	Maisonette	115	3.0	1950	2009	Ohmstraße 55	60486	Frankfurt am Main, Bockenheim	/expose/114348636	50.1174939	50.1174939
748	748		80	3.0	2050	1999	Ohmstr. 000	60486	Frankfurt, Bockenheim	/expose/105155544	50.1176404	50.1176404
749	749	Dachgeschoss	60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435871	50.115520000000004	50.115520000000004
750	750	Etagenwohnung	50		950	2008	Galvanistraße 29	60486	Frankfurt, Bockenheim	/expose/114484217	50.11795120000001	50.11795120000001
751	751	Etagenwohnung	59	2.0	1110		Ohmstraße 9	60486	Frankfurt Bockenheim, Frankfurt am Main	/expose/114496934	50.1176404	50.1176404
752	752	Etagenwohnung	82	3.0	1695	2006		60486	Frankfurt, Bockenheim	/expose/114286860	50.1223606	50.1223606
753	753	Penthouse	85	3.0	1630	2002		60487	Frankfurt am Main, Bockenheim	/expose/57895064	50.1223606	50.1223606
754	754	Etagenwohnung	20	1.0	775	2011	Salvador-Allende-Straße X	60487	Frankfurt, Bockenheim	/expose/114524202	50.122509	50.122509
755	755		23	1.0	830	1988	Große Seestr. 000	60487	Frankfurt, Bockenheim	/expose/114309547	50.1195267	50.1195267
756	756	Etagenwohnung	65	2.0	1450		Kurfürstenstraße 14A	60486	Frankfurt am Main, Bockenheim	/expose/113847915	50.122193200000005	50.122193200000005
757	757	Etagenwohnung	110	2.0	2200	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113394833	50.12266029999999	50.12266029999999
758	758	Etagenwohnung	62	2.0	1350	2011	Kurfürstenstr. 14a	60486	Frankfurt am Main, Bockenheim	/expose/61973555	50.122193200000005	50.122193200000005
759	759	Etagenwohnung	45	1.0	205	unbekannt	Pfingstbrunnenstraße 40	60486	Frankfurt, Bockenheim	/expose/83854266	50.11768970000001	50.11768970000001
760	760	Dachgeschoss	80	3.0	1550	1880	Kurfürstenstr. 49	60486	Frankfurt am Main, Bockenheim	/expose/114237680	50.119712799999995	50.119712799999995
761	761		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435895	50.115520000000004	50.115520000000004
762	762	Etagenwohnung	81	3.0	1445	2005	Voltastraße 43	60486	Frankfurt am Main, Bockenheim	/expose/114546550	50.1167958	50.1167958
763	763	Dachgeschoss	20	1.0	440	1965		60486	Frankfurt, Bockenheim	/expose/82913104	50.1223606	50.1223606
764	764	Etagenwohnung	83	2.0	1445	2005	Voltastraße 41	60486	Frankfurt am Main, Bockenheim	/expose/113486807	50.116794	50.116794
765	765	Etagenwohnung	100	2.0	2080	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113395106	50.12266029999999	50.12266029999999
766	766		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435845	50.115520000000004	50.115520000000004
767	767	Maisonette	115	3.0	1950	2009	Ohmstraße 55	60486	Frankfurt am Main, Bockenheim	/expose/114348636	50.1174939	50.1174939
768	768		80	3.0	2050	1999	Ohmstr. 000	60486	Frankfurt, Bockenheim	/expose/105155544	50.1176404	50.1176404
769	769	Dachgeschoss	60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435871	50.115520000000004	50.115520000000004
770	770	Etagenwohnung	50		950	2008	Galvanistraße 29	60486	Frankfurt, Bockenheim	/expose/114484217	50.11795120000001	50.11795120000001
771	771	Etagenwohnung	59	2.0	1110		Ohmstraße 9	60486	Frankfurt Bockenheim, Frankfurt am Main	/expose/114496934	50.1176404	50.1176404
772	772	Etagenwohnung	82	3.0	1695	2006		60486	Frankfurt, Bockenheim	/expose/114286860	50.1223606	50.1223606
773	773	Penthouse	85	3.0	1630	2002		60487	Frankfurt am Main, Bockenheim	/expose/57895064	50.1223606	50.1223606
774	774	Etagenwohnung	20	1.0	775	2011	Salvador-Allende-Straße X	60487	Frankfurt, Bockenheim	/expose/114524202	50.122509	50.122509
775	775		23	1.0	830	1988	Große Seestr. 000	60487	Frankfurt, Bockenheim	/expose/114309547	50.1195267	50.1195267
776	776	Etagenwohnung	65	2.0	1450		Kurfürstenstraße 14A	60486	Frankfurt am Main, Bockenheim	/expose/113847915	50.122193200000005	50.122193200000005
777	777	Etagenwohnung	110	2.0	2200	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113394833	50.12266029999999	50.12266029999999
778	778	Etagenwohnung	62	2.0	1350	2011	Kurfürstenstr. 14a	60486	Frankfurt am Main, Bockenheim	/expose/61973555	50.122193200000005	50.122193200000005
779	779	Etagenwohnung	45	1.0	205	unbekannt	Pfingstbrunnenstraße 40	60486	Frankfurt, Bockenheim	/expose/83854266	50.11768970000001	50.11768970000001
780	780	Dachgeschoss	80	3.0	1550	1880	Kurfürstenstr. 49	60486	Frankfurt am Main, Bockenheim	/expose/114237680	50.119712799999995	50.119712799999995
781	781		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435895	50.115520000000004	50.115520000000004
782	782	Etagenwohnung	81	3.0	1445	2005	Voltastraße 43	60486	Frankfurt am Main, Bockenheim	/expose/114546550	50.1167958	50.1167958
783	783	Dachgeschoss	20	1.0	440	1965		60486	Frankfurt, Bockenheim	/expose/82913104	50.1223606	50.1223606
784	784	Etagenwohnung	83	2.0	1445	2005	Voltastraße 41	60486	Frankfurt am Main, Bockenheim	/expose/113486807	50.116794	50.116794
785	785	Etagenwohnung	100	2.0	2080	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113395106	50.12266029999999	50.12266029999999
786	786		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435845	50.115520000000004	50.115520000000004
787	787	Maisonette	115	3.0	1950	2009	Ohmstraße 55	60486	Frankfurt am Main, Bockenheim	/expose/114348636	50.1174939	50.1174939
788	788		80	3.0	2050	1999	Ohmstr. 000	60486	Frankfurt, Bockenheim	/expose/105155544	50.1176404	50.1176404
789	789	Dachgeschoss	60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435871	50.115520000000004	50.115520000000004
790	790	Etagenwohnung	50		950	2008	Galvanistraße 29	60486	Frankfurt, Bockenheim	/expose/114484217	50.11795120000001	50.11795120000001
791	791	Etagenwohnung	59	2.0	1110		Ohmstraße 9	60486	Frankfurt Bockenheim, Frankfurt am Main	/expose/114496934	50.1176404	50.1176404
792	792	Etagenwohnung	82	3.0	1695	2006		60486	Frankfurt, Bockenheim	/expose/114286860	50.1223606	50.1223606
793	793	Penthouse	85	3.0	1630	2002		60487	Frankfurt am Main, Bockenheim	/expose/57895064	50.1223606	50.1223606
794	794	Etagenwohnung	20	1.0	775	2011	Salvador-Allende-Straße X	60487	Frankfurt, Bockenheim	/expose/114524202	50.122509	50.122509
795	795		23	1.0	830	1988	Große Seestr. 000	60487	Frankfurt, Bockenheim	/expose/114309547	50.1195267	50.1195267
